Pre-1,Pre-2,Pre-3,Pre-4,Pre-5,Pre-6,Pre-7,Pre-8,Pre-9,Pre-10,Pre-11,Pre-12,Pre-13,Pre-14,Pre-15,Pre-16,Pre-17,Pre-18,Pre-19,Pre-20,Pre-21,Pre-22,Pre-23,Pre-24,Pre-25,Pre-26,Pre-27,Pre-28,Pre-29,Pre-30,Post-1,Post-2,Post-3,Post-4,Post-5,Post-6,Post-7,Post-8,Post-9,Post-10,Post-11,Post-12,Post-13,Post-14,Post-15,Post-16,Post-17,Post-18,Post-19,Post-20,Post-21,Post-22,Post-23,Post-24,Post-25,Post-26,Post-27,Post-28,Post-29,Post-30
D,A,A,A,D,B,B,D,E,D,B,C,B,A,D,B,A,D,B,B,B,C,B,A,A,A,A,A,A,A,C,A,A,A,D,B,D,D,E,E,B,C,C,A,C,C,A,D,D,D,E,B,B,E,A,A,C,D,B,B
C,A,C,E,A,B,D,D,E,A,D,B,D,D,A,A,B,B,E,D,E,B,C,A,C,D,C,E,B,C,C,B,C,E,B,B,B,D,E,A,D,B,C,D,A,A,B,B,E,D,E,B,B,A,C,E,C,E,D,C
E,E,E,A,D,B,B,A,B,C,C,B,B,B,C,C,D,D,E,D,C,A,,,,,,,,,E,A,C,E,D,B,B,B,E,A,B,B,C,D,A,C,A,D,E,D,C,D,B,A,D,A,C,,,
B,B,A,A,E,B,B,A,E,B,D,B,B,B,A,A,B,D,A,C,C,A,A,A,C,B,A,D,B,E,C,A,A,E,D,B,B,D,B,B,C,B,D,B,C,A,A,D,A,E,E,A,B,A,C,A,C,D,B,C
C,A,C,E,B,B,B,B,E,A,D,B,D,D,C,A,A,B,E,D,E,B,B,A,C,E,C,E,B,C,C,A,C,E,B,B,B,B,E,A,D,B,D,D,A,A,B,B,E,D,E,B,B,A,C,E,C,E,B,C
C,B,C,E,D,B,D,E,C,D,C,C,C,A,C,C,A,D,A,D,B,D,D,D,D,D,C,E,D,E,B,D,C,E,D,B,B,B,C,A,C,B,D,D,A,A,B,D,A,D,A,B,C,C,C,A,C,E,D,C
C,B,B,E,D,B,B,B,B,D,C,C,B,D,C,C,A,E,E,B,,B,D,C,C,C,B,C,D,B,C,D,C,E,C,B,B,E,B,E,B,C,C,D,C,A,A,D,E,C,D,D,D,E,D,A,C,E,B,B
A,C,C,A,D,A,A,B,B,D,C,B,B,A,C,A,A,D,D,C,E,C,E,A,E,A,A,E,B,E,B,D,C,E,D,B,B,B,B,E,C,C,B,A,A,A,A,E,E,D,D,B,B,A,D,D,B,E,B,E
D,B,B,A,D,B,A,B,E,D,C,D,C,A,B,C,A,D,E,D,E,B,D,A,E,A,A,D,D,E,A,A,C,E,B,B,B,B,C,A,D,B,C,A,C,C,A,B,B,C,C,D,A,D,D,B,C,E,B,C
C,C,C,E,,,,B,C,B,C,,A,A,A,,A,D,C,A,E,B,B,A,,,,,,,C,A,C,E,B,B,B,B,C,A,D,A,D,A,A,A,B,B,E,C,C,B,B,A,C,E,C,E,B,C
C,A,C,A,C,B,B,A,B,A,C,B,C,D,C,A,A,E,A,D,E,B,B,A,C,D,C,D,D,E,C,A,C,E,B,B,B,B,E,A,D,B,D,D,C,A,B,C,E,D,E,B,B,A,C,D,C,E,D,C
C,E,C,A,D,B,B,A,E,D,C,B,B,A,C,C,A,E,E,D,B,A,A,A,E,A,C,E,D,E,C,E,A,E,B,B,A,D,E,C,C,B,C,A,C,A,B,B,E,D,C,A,D,C,D,B,B,E,B,C
C,E,A,A,C,B,B,B,D,A,C,B,C,D,C,B,A,B,E,D,C,D,B,A,D,D,C,D,B,E,C,A,C,E,B,B,B,B,E,A,D,B,D,D,C,A,B,B,E,D,A,B,A,A,C,B,C,E,D,C
C,A,C,E,E,B,B,B,E,A,D,B,D,A,C,C,A,E,E,D,E,A,,A,C,B,C,E,B,C,C,A,C,E,B,B,B,B,E,A,D,B,D,C,C,A,D,B,E,D,E,B,B,A,C,B,C,E,B,C