ID,PreScore,PostScore
9RP8PN9QKK,5,4
5S5AZ1FACL,10,7
2O3FAXCBRA,35,44
CN996SECYD,5,9
YTJM6JQNDE,7,26
76C18FANWP,NA,NA
6PRJFGD5CV,NA,NA
QPJDS89F42,8,NA
CXRM0LDEAH,NA,NA
N25ZAPFMMU,10,NA
J5LVX91WMZ,NA,NA
ZBFVTO0A6V,NA,NA
9NOOPBY821,5,NA
EBCY3620ET,11,7
Q38XFPJYEI,NA,NA
4Z9LFUJ8GP,NA,6
IOER092OOL,10,NA
ISOUQEQ246,NA,NA
M1AZIVE0EH,NA,NA
2ZZPHJGPJ6,15,NA
6UDRUKMT4Z,12,NA
6WYPJ3VO97,7,24
7R1Q59EBWK,10,17
K3CU3I25OW,NA,NA
OXJ59ME9NJ,12,3
BQDTF51Q39,NA,NA
VPJVYG3QO5,17,45
72CTLVQGYW,7,8
W2YAS73CYP,8,6
1A44VXS4GD,8,3
JK23EBL24I,9,30
5NDD0ZRJBH,NA,NA
AQFI58TD8G,19,15
GRHPXH5NX1,8,11
E190GXYAEM,10,NA
61UJWHQH44,13,6
RE8N5X6NY2,NA,NA
16DS2QD5BB,46,46
H2BRZJDYKG,10,25
JPS123IFT2,NA,NA
OWG3QP48IJ,8,NA
MB8BRXFLHK,10,19
9O5VCV4ZQO,7,NA
Q5KNKBN95Z,8,NA
RXBZQTL2LN,19,38
JCKCW0MOKP,10,NA
57BV8PN64F,6,29
7R9BP8U0VU,12,7
0BRE1RYVTI,NA,9
C8E2XLY565,22,17
U3VGRW5MJF,7,24
NQ7N396DMC,NA,9
H52G6IEAEU,11,17
1PJC27SWZJ,18,NA
3DY40PIMZF,9,5
7GW1YSDKY5,8,NA
IJ1BLBDMMB,NA,NA
FD64FRXFX9,NA,NA
V4BGOYSQXF,8,16
1WPWWMEZZT,25,17
Z0ERODN1A4,21,NA
VLEJR5XJLV,NA,NA
LX5WX5N02Y,9,NA
M4B8KNSGRT,11,15
8VBFCNPZUY,37,NA
EI4RXEZH60,NA,NA
EZHWSARI40,26,NA
P47NEPU760,7,NA
3O12SSILXN,NA,NA
NS6NDMU7XX,7,NA
98OL27APQG,7,40
VHHY54JYHA,6,NA
YBTVPM1EXW,8,16
22CSGLULT5,7,11
GN6E5FIYWE,NA,18
7S1J2F9KEQ,7,NA
Z61ZJ5DPAB,NA,NA
Z3EFQ36OMK,8,10
W9V1RL1HZV,18,NA
HAF17LO95X,31,NA
ZVU2AIHKPQ,5,5
GFUXSDOPZ6,10,8
N9RE5R37YZ,25,NA
OX4E0U93MY,9,NA
EXSZ1CUKGO,11,31
MBAB3KIHK8,NA,NA
DOJC8X1KPO,12,NA
8J5Z706L0I,6,5
Q95SL5D1Y2,NA,19
3JNUG69WKG,6,NA
39Y5Y2DJDP,NA,8
Z8C47JUQQA,5,9
L87RUNHM4Y,9,8
JJK4ID7LAH,6,NA
07OSY3IBJR,3,NA
WGYMYC45ES,46,NA
5T1TPSKFT2,14,NA
TR2VT2LT0I,41,NA
E4KB422YT8,8,18
AYPNM7A4X7,NA,NA
0788FKPQ2T,14,14
8N43KV8MIY,12,11
BG0GNDO5R1,11,10
3AC4P4C7XV,NA,NA
4JIU52P4LI,41,43
XC8AGHU7L0,36,NA
G2ZH4RQ7G3,20,NA
AXNO0LDVAX,5,NA
0FGC8HRAN9,4,NA
AK5BZPHQKT,10,NA
RAJOQ6TLFZ,14,NA
T2JO67AHCL,30,NA
3BZ6KOR6O9,10,8
SX30AKPL00,9,26
CEPOF2SZXJ,17,NA
5QTFA872H0,32,NA
H979SLEG03,4,NA
K83SE421KI,11,NA
VSTBLI7KDG,7,NA
9LMCI4MZNI,30,NA
7S66I4QHE2,34,NA
BSEABORWS4,NA,NA
PC65DLY7DK,12,36
4KSZSYVEZM,19,NA
R71DE205WD,8,24
TPJNK6YJD4,36,NA
SMZL9EKQSY,6,8
AY0AIOCESO,15,36
7FBVQAM7E7,8,9
WGINE4T071,22,46
T2M03NJ0FU,3,NA
27KWF571YR,8,NA
00WIJ51JX7,6,7
9DPPDFHA7I,47,NA
ZVA45C9VF4,NA,NA
6VV5XOU7WZ,14,NA
MHHUVM1DB3,7,6
W1J4J1ZZ1S,NA,NA
LFXW31E1MS,16,14
QGCE8XM8N1,NA,NA
LVD7LSQ22O,8,11
ZDGLRGOM5X,7,3
SKB4KO36NT,NA,NA
765VCRPKKC,15,35
0OOOOWB8OT,NA,NA
R3LY5KO0K6,16,NA
CX6X318QVE,NA,NA
NP28HOKPRP,14,NA
06MKGT22L0,NA,NA
Q5SQ0MHGJE,37,NA
6XJ95HY8XM,17,27
JD0I4XYEKD,NA,NA
LNZWL3I53X,NA,NA
QZKNWWUDX7,NA,NA
T2S2RY1S3S,5,24
WGQUVE4EVL,5,8
T3ZK92O2V8,NA,NA
YGF1UM5NS1,15,NA
N7PZWKBYM1,31,41
UDUWZRVKZ4,11,NA
R3ZXZHGSOV,9,32
BWSBTYF6V4,6,NA
6PGEA7XTXB,NA,NA
EAUX3JR98N,NA,NA
FNR1L6CJO0,NA,NA
5YHGK1AK0X,NA,24
ZB7YZMWBIV,9,NA
BKWGV6XAUE,3,NA
S0MNFKYXMR,NA,NA
YQOJ31UAIF,10,12
O2K36CBI70,9,23
PIQRYZHF9N,15,NA
RB664TXH2J,6,NA
A0O0OCWNEA,NA,NA
DCTUZL9XFT,29,NA
L53DPCP7SO,12,NA
5HRAQGF8VD,8,30
B6P8V747M7,NA,NA
6XXDCRSXC6,6,8
V9IWGSQN5O,30,8
ZPR8QRIB24,5,9
KHQB12FOOK,6,21
AYOL0XQOXI,NA,16
LUZX67D9WF,26,32
52U1P4VRN2,9,2
WHFH81OB4Z,12,14
QBN592FXUT,41,NA
QE3CNDR53M,6,5
Z8IKQW7WMX,22,NA
33W4INPWDZ,6,NA
ZEPJ80UX74,18,32
R9BUGS7EQW,41,46
5XTQ1YQNCC,9,NA
K1V21NP7HE,NA,7
HWSQ692UO4,8,13
2YYYI6L4F9,NA,NA
73U6COVG4A,10,10
3VLUBQAIQW,18,18
3DAKBTFV2F,10,12
5WA7W8O10X,5,NA
42WYCF38YI,10,10
H01JKVINLG,NA,NA
25J9H0UEAD,9,NA
Z03A0G41GA,7,40
QC45RY16IY,5,NA
APR2PWIU0K,8,NA
NZHVXLCYAD,9,NA
IYA30OSYM7,15,3
J8HYS9IT6M,9,NA
2876LBKRZE,NA,NA
JOY9ASYJNY,12,NA
RRAB4TUZDY,9,12
G1DKLHEIB0,15,NA
NIWKOS7YQN,19,35
K0VO2Q5JSK,13,33
BK3K69X1ZN,7,NA
SO7BYOR832,10,NA
92K45U8D5Y,35,NA
S1QVSZ5DH9,10,10
Q5YYB34MXM,8,10
NLCAI19MAS,10,14
BOPSPYKX2L,9,7
WTHKQFEBI5,NA,NA
JVZYWCG4FX,11,7
73SRVUEHXS,11,NA
LZFT5BWW4S,13,9
SCDEHJECLD,NA,NA
RZKJG5XWJ9,8,4
WDFHB45BOO,NA,NA
JG788YHXLN,9,NA
A1XEDXNXGH,8,6
SSZOMTETDI,7,9
WLDPAHUMZU,6,NA
U76S9TIC5T,10,NA
EG6YU5VLQ3,19,NA
XHOOD3OZHH,NA,NA
KP5CJ155KZ,13,16
TLV0CJ92V5,29,NA
NHF0YRLK5M,8,9
WICIX2I9EB,24,NA
TS00A9K57T,9,9
Z34Q3X0YPZ,17,5
D75XAUUZED,6,12
VFBGMSSRFC,5,6
84G3TR0ZIU,6,NA
3296ZRULXQ,7,NA
S2G7XMXY6X,6,NA
W6RZ853N6M,8,NA
4E8DJCH8GN,26,12
2FL6Y0FQN7,5,NA
YW014QN0PF,4,31
9ZKPJGOBYF,NA,NA
QB33Q40YLB,7,20